team_name,team,mascot,league,resource,resource_path
Arizona Diamondbacks,Arizona,Diamondbacks,mlb,team://mlb/arizona_diamondbacks,/mlb/arizona_diamondbacks
Atlanta Braves,Atlanta,Braves,mlb,team://mlb/atlanta_braves,/mlb/atlanta_braves
Baltimore Orioles,Baltimore,Orioles,mlb,team://mlb/baltimore_orioles,/mlb/baltimore_orioles
Boston Red Sox,Boston,Red Sox,mlb,team://mlb/boston_red_sox,/mlb/boston_red_sox
Chicago Cubs,Chicago,Cubs,mlb,team://mlb/chicago_cubs,/mlb/chicago_cubs
Chicago White Sox,Chicago,White Sox,mlb,team://mlb/chicago_white_sox,/mlb/chicago_white_sox
Cincinnati Reds,Cincinnati,Reds,mlb,team://mlb/cincinnati_reds,/mlb/cincinnati_reds
Cleveland Indians,Cleveland,Indians,mlb,team://mlb/cleveland_indians,/mlb/cleveland_indians
Colorado Rockies,Colorado,Rockies,mlb,team://mlb/colorado_rockies,/mlb/colorado_rockies
Detroit Tigers,Detroit,Tigers,mlb,team://mlb/detroit_tigers,/mlb/detroit_tigers
Florida Marlins,Florida,Marlins,mlb,team://mlb/florida_marlins,/mlb/florida_marlins
Houston Astros,Houston,Astros,mlb,team://mlb/houston_astros,/mlb/houston_astros
Kansas City Royals,Kansas City,Royals,mlb,team://mlb/kansas_city_royals,/mlb/kansas_city_royals
Los Angeles Angels,Los Angeles,Angels,mlb,team://mlb/la_angels,/mlb/la_angels
Los Angeles Dodgers,Los Angeles,Dodgers,mlb,team://mlb/la_dodgers,/mlb/la_dodgers
Milwaukee Brewers,Milwaukee,Brewers,mlb,team://mlb/milwaukee_brewers,/mlb/milwaukee_brewers
Minnesota Twins,Minnesota,Twins,mlb,team://mlb/minnesota_twins,/mlb/minnesota_twins
New York Mets,New York,Mets,mlb,team://mlb/ny_mets,/mlb/ny_mets
New York Yankees,New York,Yankees,mlb,team://mlb/ny_yankees,/mlb/ny_yankees
Oakland A's,Oakland,A's,mlb,team://mlb/oakland_as,/mlb/oakland_as
Philadelphia Phillies,Philadelphia,Phillies,mlb,team://mlb/philadelphia_phillies,/mlb/philadelphia_phillies
Pittsburgh Pirates,Pittsburgh,Pirates,mlb,team://mlb/pittsburgh_pirates,/mlb/pittsburgh_pirates
San Diego Padres,San Diego,Padres,mlb,team://mlb/sd_padres,/mlb/sd_padres
Seattle Mariners,Seattle,Mariners,mlb,team://mlb/seattle_mariners,/mlb/seattle_mariners
San Francisco Giants,San Francisco,Giants,mlb,team://mlb/sf_giants,/mlb/sf_giants
St Louis Cardinals,St Louis,Cardinals,mlb,team://mlb/st_louis_cardinals,/mlb/st_louis_cardinals
Tampa Bay Rays,Tampa Bay,Rays,mlb,team://mlb/tampa_bay_rays,/mlb/tampa_bay_rays
Texas Rangers,Texas,Rangers,mlb,team://mlb/texas_rangers,/mlb/texas_rangers
Toronto Blue Jays,Toronto,Blue Jays,mlb,team://mlb/toronto_blue_jays,/mlb/toronto_blue_jays
Washington Nationals,Washington,Nationals,mlb,team://mlb/washington_nationals,/mlb/washington_nationals
Atlanta Hawks,Atlanta,Hawks,nba,team://nba/atlanta_hawks,/nba/atlanta_hawks
Boston Celtics,Boston,Celtics,nba,team://nba/boston_celtics,/nba/boston_celtics
Charlotte Bobcats,Charlotte,Bobcats,nba,team://nba/charlotte_bobcats,/nba/charlotte_bobcats
Chicago Bulls,Chicago,Bulls,nba,team://nba/chicago_bulls,/nba/chicago_bulls
Cleveland Cavaliers,Cleveland,Cavaliers,nba,team://nba/cleveland_cavaliers,/nba/cleveland_cavaliers
Dallas Mavericks,Dallas,Mavericks,nba,team://nba/dallas_mavericks,/nba/dallas_mavericks
Denver Nuggets,Denver,Nuggets,nba,team://nba/denver_nuggets,/nba/denver_nuggets
Detroit Pistons,Detroit,Pistons,nba,team://nba/detroit_pistons,/nba/detroit_pistons
Golden State Warriors,Golden State,Warriors,nba,team://nba/golden_state_warriors,/nba/golden_state_warriors
Houston Rockets,Houston,Rockets,nba,team://nba/houston_rockets,/nba/houston_rockets
Indiana Pacers,Indiana,Pacers,nba,team://nba/indiana_pacers,/nba/indiana_pacers
Los Angeles Clippers,Los Angeles,Clippers,nba,team://nba/la_clippers,/nba/la_clippers
Los Angeles Lakers,Los Angeles,Lakers,nba,team://nba/la_lakers,/nba/la_lakers
Memphis Grizzlies,Memphis,Grizzlies,nba,team://nba/memphis_grizzlies,/nba/memphis_grizzlies
Miami Heat,Miami,Heat,nba,team://nba/miami_heat,/nba/miami_heat
Milwaukee Bucks,Milwaukee,Bucks,nba,team://nba/milwaukee_bucks,/nba/milwaukee_bucks
Minnesota Timberwolves,Minnesota,Timberwolves,nba,team://nba/minnesota_timberwolves,/nba/minnesota_timberwolves
New Orleans Hornets,New Orleans,Hornets,nba,team://nba/new_orleans_hornets,/nba/new_orleans_hornets
New Jersey Nets,New Jersey,Nets,nba,team://nba/nj_nets,/nba/nj_nets
New York Knicks,New York,Knicks,nba,team://nba/ny_knicks,/nba/ny_knicks
Oklahoma City Thunder,Oklahoma City,Thunder,nba,team://nba/oklahoma_city_thunder,/nba/oklahoma_city_thunder
Orlando Magic,Orlando,Magic,nba,team://nba/orlando_magic,/nba/orlando_magic
Philadelphia 76ers,Philadelphia,76ers,nba,team://nba/philadelphia_76ers,/nba/philadelphia_76ers
Phoenix Suns,Phoenix,Suns,nba,team://nba/phoenix_suns,/nba/phoenix_suns
Portland Trail Blazers,Portland,Blazers,nba,team://nba/portland_trail_blazers,/nba/portland_trail_blazers
Sacramento Kings,Sacramento,Kings,nba,team://nba/sacramento_kings,/nba/sacramento_kings
San Antonio Spurs,San Antonio,Spurs,nba,team://nba/san_antonio_spurs,/nba/san_antonio_spurs
Toronto Raptors,Toronto,Raptors,nba,team://nba/toronto_raptors,/nba/toronto_raptors
Utah Jazz,Utah,Jazz,nba,team://nba/utah_jazz,/nba/utah_jazz
Washington Wizards,Washington,Wizards,nba,team://nba/washington_wizards,/nba/washington_wizards
Arizona Cardinals,Arizona,Cardinals,nfl,team://nfl/arizona_cardinals,/nfl/arizona_cardinals
Atlanta Falcons,Atlanta,Falcons,nfl,team://nfl/atlanta_falcons,/nfl/atlanta_falcons
Baltimore Ravens,Baltimore,Ravens,nfl,team://nfl/baltimore_ravens,/nfl/baltimore_ravens
Buffalo Bills,Buffalo,Bills,nfl,team://nfl/buffalo_bills,/nfl/buffalo_bills
Carolina Panthers,Carolina,Panthers,nfl,team://nfl/carolina_panthers,/nfl/carolina_panthers
Chicago Bears,Chicago,Bears,nfl,team://nfl/chicago_bears,/nfl/chicago_bears
Cincinnati Bengals,Cincinnati,Bengals,nfl,team://nfl/cincinnati_bengals,/nfl/cincinnati_bengals
Cleveland Browns,Cleveland,Browns,nfl,team://nfl/cleveland_browns,/nfl/cleveland_browns
Dallas Cowboys,Dallas,Cowboys,nfl,team://nfl/dallas_cowboys,/nfl/dallas_cowboys
Denver Broncos,Denver,Broncos,nfl,team://nfl/denver_broncos,/nfl/denver_broncos
Detroit Lions,Detroit,Lions,nfl,team://nfl/detroit_lions,/nfl/detroit_lions
Green Bay Packers,Green Bay,Packers,nfl,team://nfl/green_bay_packers,/nfl/green_bay_packers
Houston Texans,Houston,Texans,nfl,team://nfl/houston_texans,/nfl/houston_texans
Indianapolis Colts,Indianapolis,Colts,nfl,team://nfl/indianapolis_colts,/nfl/indianapolis_colts
Jacksonville Jaguars,Jacksonville,Jaguars,nfl,team://nfl/jacksonville_jaguars,/nfl/jacksonville_jaguars
Kansas City Chiefs,Kansas City,Chiefs,nfl,team://nfl/kansas_city_chiefs,/nfl/kansas_city_chiefs
Miami Dolphins,Miami,Dolphins,nfl,team://nfl/miami_dolphins,/nfl/miami_dolphins
Minnesota Vikings,Minnesota,Vikings,nfl,team://nfl/minnesota_vikings,/nfl/minnesota_vikings
New England Patriots,New England,Patriots,nfl,team://nfl/new_england_patriots,/nfl/new_england_patriots
New Orleans Saints,New Orleans,Saints,nfl,team://nfl/new_orleans_saints,/nfl/new_orleans_saints
New York Giants,New York,Giants,nfl,team://nfl/ny_giants,/nfl/ny_giants
New York Jets,New York,Jets,nfl,team://nfl/ny_jets,/nfl/ny_jets
Oakland Raiders,Oakland,Raiders,nfl,team://nfl/oakland_raiders,/nfl/oakland_raiders
Philadelphia Eagles,Philadelphia,Eagles,nfl,team://nfl/philadelphia_eagles,/nfl/philadelphia_eagles
Pittsburgh Steelers,Pittsburgh,Steelers,nfl,team://nfl/pittsburgh_steelers,/nfl/pittsburgh_steelers
San Diego Chargers,San Diego,Chargers,nfl,team://nfl/sd_chargers,/nfl/sd_chargers
Seattle Seahawks,Seattle,Seahawks,nfl,team://nfl/seattle_seahawks,/nfl/seattle_seahawks
San Francisco 49ers,San Francisco,49ers,nfl,team://nfl/sf_49ers,/nfl/sf_49ers
St Louis Rams,St Louis,Rams,nfl,team://nfl/st_louis_rams,/nfl/st_louis_rams
Tampa Bay Buccaneers,Tampa Bay,Buccaneers,nfl,team://nfl/tampa_bay_buccaneers,/nfl/tampa_bay_buccaneers
Tennessee Titans,Tennessee,Titans,nfl,team://nfl/tennessee_titans,/nfl/tennessee_titans
Washington Redskins,Washington,Redskins,nfl,team://nfl/washington_redskins,/nfl/washington_redskins
Anaheim Ducks,Anaheim,Ducks,nhl,team://nhl/anaheim_ducks,/nhl/anaheim_ducks
Atlanta Thrashers,Atlanta,Thrashers,nhl,team://nhl/atlanta_thrashers,/nhl/atlanta_thrashers
Boston Bruins,Boston,Bruins,nhl,team://nhl/boston_bruins,/nhl/boston_bruins
Buffalo Sabres,Buffalo,Sabres,nhl,team://nhl/buffalo_sabres,/nhl/buffalo_sabres
Calgary Flames,Calgary,Flames,nhl,team://nhl/calgary_flames,/nhl/calgary_flames
Carolina Hurricanes,Carolina,Hurricanes,nhl,team://nhl/carolina_hurricanes,/nhl/carolina_hurricanes
Chicago Blackhawks,Chicago,Blackhawks,nhl,team://nhl/chicago_blackhawks,/nhl/chicago_blackhawks
Colorado Avalanche,Colorado,Avalanche,nhl,team://nhl/colorado_avalanche,/nhl/colorado_avalanche
Columbus Blue Jackets,Columbus,Blue Jackets,nhl,team://nhl/columbus_blue_jackets,/nhl/columbus_blue_jackets
Dallas Stars,Dallas,Stars,nhl,team://nhl/dallas_stars,/nhl/dallas_stars
Detroit Red Wings,Detroit,Red Wings,nhl,team://nhl/detroit_red_wings,/nhl/detroit_red_wings
Edmonton Oilers,Edmonton,Oilers,nhl,team://nhl/edmonton_oilers,/nhl/edmonton_oilers
Florida Panthers,Florida,Panthers,nhl,team://nhl/florida_panthers,/nhl/florida_panthers
Los Angeles Kings,Los Angeles,Kings,nhl,team://nhl/la_kings,/nhl/la_kings
Minnesota Wild,Minnesota,Wild,nhl,team://nhl/minnesota_wild,/nhl/minnesota_wild
Montreal Canadiens,Montreal,Canadiens,nhl,team://nhl/montreal_canadiens,/nhl/montreal_canadiens
Nashville Predators,Nashville,Predators,nhl,team://nhl/nashville_predators,/nhl/nashville_predators
New Jersey Devils,New Jersey,Devils,nhl,team://nhl/nj_devils,/nhl/nj_devils
New York Islanders,New York,Islanders,nhl,team://nhl/ny_islanders,/nhl/ny_islanders
New York Rangers,New York,Rangers,nhl,team://nhl/ny_rangers,/nhl/ny_rangers
Ottawa Senators,Ottawa,Senators,nhl,team://nhl/ottawa_senators,/nhl/ottawa_senators
Philadelphia Flyers,Philadelphia,Flyers,nhl,team://nhl/philadelphia_flyers,/nhl/philadelphia_flyers
Phoenix Coyotes,Phoenix,Coyotes,nhl,team://nhl/phoenix_coyotes,/nhl/phoenix_coyotes
Pittsburgh Penguins,Pittsburgh,Penguins,nhl,team://nhl/pittsburgh_penguins,/nhl/pittsburgh_penguins
San Jose Sharks,San Jose,Sharks,nhl,team://nhl/sj_sharks,/nhl/sj_sharks
St Louis Blues,St Louis,Blues,nhl,team://nhl/st_louis_blues,/nhl/st_louis_blues
Tampa Bay Lightning,Tampa Bay,Lightning,nhl,team://nhl/tampa_bay_lightning,/nhl/tampa_bay_lightning
Toronto Maple Leafs,Toronto,Maple Leafs,nhl,team://nhl/toronto_maple_leafs,/nhl/toronto_maple_leafs
Vancouver Canucks,Vancouver,Canucks,nhl,team://nhl/vancouver_canucks,/nhl/vancouver_canucks
Washington Capitals,Washington,Capitals,nhl,team://nhl/washington_capitals,/nhl/washington_capitals
Abilene Christian Wildcats,Abilene Christian,Wildcats,ncaaf,team://ncaa_football/abilene_christian_wildcats,/ncaa_football/abilene_christian_wildcats
Adams St Grizzlies,Adams St,Grizzlies,ncaaf,team://ncaa_football/adams_st_grizzlies,/ncaa_football/adams_st_grizzlies
Adrian Bulldogs,Adrian,Bulldogs,ncaaf,team://ncaa_football/adrian_bulldogs,/ncaa_football/adrian_bulldogs
Air Force Falcons,Air Force,Falcons,ncaaf,team://ncaa_football/air_force_falcons,/ncaa_football/air_force_falcons
Akron Zips,Akron,Zips,ncaaf,team://ncaa_football/akron_zips,/ncaa_football/akron_zips
Alabama A&M Bulldogs,Alabama,Bulldogs,ncaaf,team://ncaa_football/alabama_am_bulldogs,/ncaa_football/alabama_am_bulldogs
Alabama Crimson Tide,Alabama,Crimson Tide,ncaaf,team://ncaa_football/alabama_crimson_tide,/ncaa_football/alabama_crimson_tide
Alabama St Hornets,Alabama,Hornets,ncaaf,team://ncaa_football/alabama_st_hornets,/ncaa_football/alabama_st_hornets
Albany Panthers,Albany,Panthers,ncaaf,team://ncaa_football/albany_panthers,/ncaa_football/albany_panthers
Albany St GA Golden Rams,Albany,Golden Rams,ncaaf,team://ncaa_football/albany_st_ga_golden_rams,/ncaa_football/albany_st_ga_golden_rams
Albion Britons,Albion,Britons,ncaaf,team://ncaa_football/albion_britons,/ncaa_football/albion_britons
Albright Lions,Albright,Lions,ncaaf,team://ncaa_football/albright_lions,/ncaa_football/albright_lions
Alcorn St Braves,Alcorn,Braves,ncaaf,team://ncaa_football/alcorn_st_braves,/ncaa_football/alcorn_st_braves
Alfred Saxons,Alfred,Saxons,ncaaf,team://ncaa_football/alfred_saxons,/ncaa_football/alfred_saxons
Alfred State,Alfred,,ncaaf,team://ncaa_football/alfred_state,/ncaa_football/alfred_state
Allegheny Gators,Allegheny,Gators,ncaaf,team://ncaa_football/allegheny_gators,/ncaa_football/allegheny_gators
